bed,bath,area,budget,price,local_street,local_ward,local_district,local_city
18,18,128.9,16,124.12,Đ.Điện Biên Phủ,P.15,Q.Bình Thạnh,Hồ Chí Minh
6,5,86.6,29.5,340.64,Đ.Bạch Đằng,P.15,Q.Bình Thạnh,Hồ Chí Minh
1,1,244.7,80,326.93,Đ.Điện Biên Phủ,P.15,Q.Bình Thạnh,Hồ Chí Minh
5,4,47.4,10,210.97,Đ.Điện Biên Phủ,P.15,Q.Bình Thạnh,Hồ Chí Minh
4,3,72,12.5,173.61,Đ.Đinh Bộ Lĩnh,P.15,Q.Bình Thạnh,Hồ Chí Minh
2,2,26.5,9,339.62,Đ.Trường Sa,P.15,Q.Bình Thạnh,Hồ Chí Minh
1,2,36,11,305.55,Đ.Bạch Đằng,P.15,Q.Bình Thạnh,Hồ Chí Minh
4,4,74.6,6.8,91.15,Đ.Bạch Đằng,P.15,Q.Bình Thạnh,Hồ Chí Minh
3,3,46.6,6.8,145.92,Đ.Điện Biên Phủ,P.15,Q.Bình Thạnh,Hồ Chí Minh
1,1,26.9,4.5,167.28,Đ.Điện Biên Phủ,P.15,Q.Bình Thạnh,Hồ Chí Minh
8,9,81.3,9.7,119.31,Đ.Nguyễn Cửu Vân,P.17,Q.Bình Thạnh,Hồ Chí Minh
2,2,61.1,6,98.19,Đ.Xô Viết Nghệ Tĩnh,P.17,Q.Bình Thạnh,Hồ Chí Minh
1,1,24.5,3.2,130.61,Đ.Nguyễn Cửu Vân,P.17,Q.Bình Thạnh,Hồ Chí Minh
2,3,21.2,4.6,216.98,Đ.Nguyễn Cửu Vân,P.17,Q.Bình Thạnh,Hồ Chí Minh
2,2,18,4,222.22,Đ.Phan Văn Hân,P.17,Q.Bình Thạnh,Hồ Chí Minh
2,1,103,10.5,101.94,Đ.Nguyễn Cửu Vân,P.17,Q.Bình Thạnh,Hồ Chí Minh
2,1,101,17,168.31,Đ.Nguyễn Cửu Vân,P.17,Q.Bình Thạnh,Hồ Chí Minh
2,2,72,11,152.77,Đ.Điện Biên Phủ,P.17,Q.Bình Thạnh,Hồ Chí Minh
2,2,43.8,12,273.97,Đ.Nguyễn Ngọc Phương,P.19,Q.Bình Thạnh,
